Country,Land Cover Type,Unit,Year,Forest Area
MYS,Forest,million hectares,2005,36.777051
MYS,Forest,million hectares,2006,36.59877
MYS,Forest,million hectares,2007,36.380259
MYS,Forest,million hectares,2008,36.175005
MYS,Forest,million hectares,2009,36.006471
MYS,Forest,million hectares,2010,35.720487
MYS,Forest,million hectares,2011,35.534412
MYS,Forest,million hectares,2012,35.329617
MYS,Forest,million hectares,2013,35.232012
MYS,Forest,million hectares,2014,35.026092
MYS,Forest,million hectares,2015,35.025678
MYS,Forest,million hectares,2016,34.782408
MYS,Forest,million hectares,2017,34.674696
MYS,Forest,million hectares,2018,34.533855
MYS,Forest,million hectares,2019,34.392069
MYS,Forest,million hectares,2020,34.319988
MYS,Forest,million hectares,2021,34.315686
CRI,Forest,million hectares,2005,4.084398
CRI,Forest,million hectares,2006,4.098132
CRI,Forest,million hectares,2007,4.10436
CRI,Forest,million hectares,2008,4.126788
CRI,Forest,million hectares,2009,4.148946
CRI,Forest,million hectares,2010,4.161096
CRI,Forest,million hectares,2011,4.177062
CRI,Forest,million hectares,2012,4.182291
CRI,Forest,million hectares,2013,4.194774
CRI,Forest,million hectares,2014,4.240044
CRI,Forest,million hectares,2015,4.239927
CRI,Forest,million hectares,2016,4.237992
CRI,Forest,million hectares,2017,4.235913
CRI,Forest,million hectares,2018,4.238856
CRI,Forest,million hectares,2019,4.235958
CRI,Forest,million hectares,2020,4.230297
CRI,Forest,million hectares,2021,4.233447
NZL,Forest,million hectares,2005,110.075877
NZL,Forest,million hectares,2006,110.356902
NZL,Forest,million hectares,2007,110.632725
NZL,Forest,million hectares,2008,110.676141
NZL,Forest,million hectares,2009,110.938896
NZL,Forest,million hectares,2010,111.03579
NZL,Forest,million hectares,2011,111.01833
NZL,Forest,million hectares,2012,111.085587
NZL,Forest,million hectares,2013,111.197196
NZL,Forest,million hectares,2014,111.491838
NZL,Forest,million hectares,2015,111.486753
NZL,Forest,million hectares,2016,111.623841
NZL,Forest,million hectares,2017,111.677256
NZL,Forest,million hectares,2018,111.793509
NZL,Forest,million hectares,2019,112.258314
NZL,Forest,million hectares,2020,112.545216
NZL,Forest,million hectares,2021,112.705371
NOR,Forest,million hectares,2005,157.924917
NOR,Forest,million hectares,2006,157.987215
NOR,Forest,million hectares,2007,158.27589
NOR,Forest,million hectares,2008,158.715855
NOR,Forest,million hectares,2009,159.249906
NOR,Forest,million hectares,2010,158.908266
NOR,Forest,million hectares,2011,158.492502
NOR,Forest,million hectares,2012,158.373648
NOR,Forest,million hectares,2013,158.37255
NOR,Forest,million hectares,2014,158.494689
NOR,Forest,million hectares,2015,158.465439
NOR,Forest,million hectares,2016,158.485473
NOR,Forest,million hectares,2017,158.299218
NOR,Forest,million hectares,2018,157.059054
NOR,Forest,million hectares,2019,155.729826
NOR,Forest,million hectares,2020,155.576898
NOR,Forest,million hectares,2021,155.53692
IDN,Forest,million hectares,2005,134.77473
IDN,Forest,million hectares,2006,134.29026
IDN,Forest,million hectares,2007,133.575966
IDN,Forest,million hectares,2008,133.05888
IDN,Forest,million hectares,2009,133.005897
IDN,Forest,million hectares,2010,132.350868
IDN,Forest,million hectares,2011,131.863086
IDN,Forest,million hectares,2012,131.372667
IDN,Forest,million hectares,2013,131.158584
IDN,Forest,million hectares,2014,130.911273
IDN,Forest,million hectares,2015,130.910004
IDN,Forest,million hectares,2016,130.075785
IDN,Forest,million hectares,2017,129.790251
IDN,Forest,million hectares,2018,129.368178
IDN,Forest,million hectares,2019,128.939823
IDN,Forest,million hectares,2020,128.616066
IDN,Forest,million hectares,2021,128.550924
